data_id,indicator,survey_id,is_preferred,value,sdrid,precision,region_id,survey_year_label,survey_type,survey_year,indicator_order,dhs_country_code,ci_low,country_name,indicator_type,characteristic_id,characteristic_category,indicator_id,characteristic_order,characteristic_label,by_variable_label,denominator_unweighted,denominator_weighted,ci_high,is_total,by_variable_id,.
1720514,Children stunted,KE2014DHS,1,15.7,CNNUTSCHA2,1,KEDHS2014416045,2014,DHS,2014,104236020,KE,NA,Kenya,I,416045,Region,CN_NUTS_C_HA2,1416045,..Kiambu,NA,295,686,NA,0,0,NA
1569982,Children stunted,KE2014DHS,1,22.7,CNNUTSCHA2,1,KEDHS2014416005,2014,DHS,2014,104236020,KE,NA,Kenya,I,416005,Region,CN_NUTS_C_HA2,1416050,Nyanza,NA,2860,2769,NA,0,0,NA
3206186,Children stunted,KE2014DHS,1,23.9,CNNUTSCHA2,1,KEDHS2014416051,2014,DHS,2014,104236020,KE,NA,Kenya,I,416051,Region,CN_NUTS_C_HA2,1416051,..Turkana,NA,530,359,NA,0,0,NA
2870764,Children stunted,KE2014DHS,1,45.9,CNNUTSCHA2,1,KEDHS2014416052,2014,DHS,2014,104236020,KE,NA,Kenya,I,416052,Region,CN_NUTS_C_HA2,1416052,..West Pokot,NA,573,286,NA,0,0,NA
3202756,Children stunted,KE2014DHS,1,30.1,CNNUTSCHA2,1,KEDHS2014416053,2014,DHS,2014,104236020,KE,NA,Kenya,I,416053,Region,CN_NUTS_C_HA2,1416053,..Samburu,NA,534,112,NA,0,0,NA
905185,Children stunted,KE2014DHS,1,29.2,CNNUTSCHA2,1,KEDHS2014416054,2014,DHS,2014,104236020,KE,NA,Kenya,I,416054,Region,CN_NUTS_C_HA2,1416054,..Trans-Nzoia,NA,479,556,NA,0,0,NA
1124761,Children stunted,KE2014DHS,1,31.2,CNNUTSCHA2,1,KEDHS2014416055,2014,DHS,2014,104236020,KE,NA,Kenya,I,416055,Region,CN_NUTS_C_HA2,1416055,..Uasin Gishu,NA,418,482,NA,0,0,NA
3202764,Children stunted,KE2014DHS,1,29.9,CNNUTSCHA2,1,KEDHS2014416056,2014,DHS,2014,104236020,KE,NA,Kenya,I,416056,Region,CN_NUTS_C_HA2,1416056,..Elgeyo Marakwet,NA,410,170,NA,0,0,NA
2644664,Children stunted,KE2014DHS,1,29.9,CNNUTSCHA2,1,KEDHS2014416057,2014,DHS,2014,104236020,KE,NA,Kenya,I,416057,Region,CN_NUTS_C_HA2,1416057,..Nandi,NA,467,405,NA,0,0,NA
841524,Children stunted,KE2014DHS,1,29.5,CNNUTSCHA2,1,KEDHS2014416058,2014,DHS,2014,104236020,KE,NA,Kenya,I,416058,Region,CN_NUTS_C_HA2,1416058,..Baringo,NA,431,233,NA,0,0,NA
